"activity" "subject" "measurement" "average"
"laying" 1 "timeBodyGyroscopeJerkMeanZ" -0.0740501211
"laying" 1 "timeBodyGyroscopeJerkStandardDeviationX" -0.9186085208
"laying" 1 "timeBodyGyroscopeJerkStandardDeviationY" -0.9679072436
"laying" 1 "timeBodyGyroscopeJerkStandardDeviationZ" -0.9577901596
"laying" 1 "timeBodyGyroscopeMagnitudeMean" -0.874759548
"laying" 1 "timeBodyGyroscopeMagnitudeStandardDeviation" -0.81901016976
"laying" 1 "timeBodyGyroscopeMeanX" -0.016553093978
"laying" 1 "timeBodyGyroscopeMeanY" -0.064486124088
"laying" 1 "timeBodyGyroscopeMeanZ" 0.14868943626
"laying" 1 "timeBodyGyroscopeStandardDeviationX" -0.87354386782
"laying" 1 "timeBodyGyroscopeStandardDeviationY" -0.9510904402
"laying" 1 "timeBodyGyroscopeStandardDeviationZ" -0.9082846626
"laying" 1 "timeGravityAccelerationMagnitudeMean" -0.8419291525
"laying" 1 "timeGravityAccelerationMagnitudeStandardDeviation" -0.79514486386
"laying" 1 "timeGravityAccelerationMeanX" -0.24888179828
"laying" 1 "timeGravityAccelerationMeanY" 0.70554977346
"laying" 1 "timeGravityAccelerationMeanZ" 0.4458177198
"laying" 1 "timeGravityAccelerationStandardDeviationX" -0.8968300184
"laying" 1 "timeGravityAccelerationStandardDeviationY" -0.90772000676
"laying" 1 "timeGravityAccelerationStandardDeviationZ" -0.85236629022
"laying" 2 "frequencyBodyAccelerationJerkMeanX" -0.985813630833333
"laying" 2 "frequencyBodyAccelerationJerkMeanY" -0.982768250416667
"laying" 2 "frequencyBodyAccelerationJerkMeanZ" -0.986197134583333
"laying" 2 "frequencyBodyAccelerationJerkStandardDeviationX" -0.987250255833333
"laying" 2 "frequencyBodyAccelerationJerkStandardDeviationY" -0.984987392916667
"laying" 2 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.989345368541667
"laying" 2 "frequencyBodyAccelerationMagnitudeMean" -0.975110196458333
"laying" 2 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.975121387916667
"laying" 2 "frequencyBodyAccelerationMeanX" -0.976725059791667
"laying" 2 "frequencyBodyAccelerationMeanY" -0.979800877916667
"laying" 2 "frequencyBodyAccelerationMeanZ" -0.984380981875
"laying" 2 "frequencyBodyAccelerationStandardDeviationX" -0.973246482083333
"laying" 2 "frequencyBodyAccelerationStandardDeviationY" -0.981025105625
"laying" 2 "frequencyBodyAccelerationStandardDeviationZ" -0.984792185
"laying" 2 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.985374114791667
"laying" 2 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.984568489166667
"laying" 2 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.990248702291667
"laying" 2 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.989492660416667
"laying" 2 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.972112972708333
"laying" 2 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.96109837875
"laying" 2 "frequencyBodyGyroscopeMeanX" -0.9864311425
"laying" 2 "frequencyBodyGyroscopeMeanY" -0.983321635416667
"laying" 2 "frequencyBodyGyroscopeMeanZ" -0.9626718875
"laying" 2 "frequencyBodyGyroscopeStandardDeviationX" -0.988860685833333
"laying" 2 "frequencyBodyGyroscopeStandardDeviationY" -0.981910616458333
"laying" 2 "frequencyBodyGyroscopeStandardDeviationZ" -0.963174222291667
"laying" 2 "timeBodyAccelerationJerkMagnitudeMean" -0.987741696041667
"laying" 2 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.98551807625
"laying" 2 "timeBodyAccelerationJerkMeanX" 0.0825972511666667
"laying" 2 "timeBodyAccelerationJerkMeanY" 0.012254788451875
"laying" 2 "timeBodyAccelerationJerkMeanZ" -0.00180264895625
"laying" 2 "timeBodyAccelerationJerkStandardDeviationX" -0.98587216875
"laying" 2 "timeBodyAccelerationJerkStandardDeviationY" -0.98317254125
"laying" 2 "timeBodyAccelerationJerkStandardDeviationZ" -0.988442014375
"laying" 2 "timeBodyAccelerationMagnitudeMean" -0.977435485208333
"laying" 2 "timeBodyAccelerationMagnitudeStandardDeviation" -0.972873912916667
"laying" 2 "timeBodyAccelerationMeanX" 0.281373403958333
"laying" 2 "timeBodyAccelerationMeanY" -0.0181587397583333
"laying" 2 "timeBodyAccelerationMeanZ" -0.107245610416667
"laying" 2 "timeBodyAccelerationStandardDeviationX" -0.974059464791667
"laying" 2 "timeBodyAccelerationStandardDeviationY" -0.98027739875
"laying" 2 "timeBodyAccelerationStandardDeviationZ" -0.984233296875
"laying" 2 "timeBodyGyroscopeJerkMagnitudeMean" -0.991767074166667
"laying" 2 "timeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.989718095208333
"laying" 2 "timeBodyGyroscopeJerkMeanX" -0.101974134208333
"laying" 2 "timeBodyGyroscopeJerkMeanY" -0.0358590176083333
"laying" 2 "timeBodyGyroscopeJerkMeanZ" -0.0701783020833333
"laying" 2 "timeBodyGyroscopeJerkStandardDeviationX" -0.993235849166667
"laying" 2 "timeBodyGyroscopeJerkStandardDeviationY" -0.989567537916667
"laying" 2 "timeBodyGyroscopeJerkStandardDeviationZ" -0.98803582125
"laying" 2 "timeBodyGyroscopeMagnitudeMean" -0.950011569583333
"laying" 2 "timeBodyGyroscopeMagnitudeStandardDeviation" -0.961164053958333
"laying" 2 "timeBodyGyroscopeMeanX" -0.01847660675
"laying" 2 "timeBodyGyroscopeMeanY" -0.111800824583333
"laying" 2 "timeBodyGyroscopeMeanZ" 0.144882846104167
"laying" 2 "timeBodyGyroscopeStandardDeviationX" -0.988275232916667
"laying" 2 "timeBodyGyroscopeStandardDeviationY" -0.982291608958333
"laying" 2 "timeBodyGyroscopeStandardDeviationZ" -0.960306560416667
"laying" 2 "timeGravityAccelerationMagnitudeMean" -0.977435485208333
"laying" 2 "timeGravityAccelerationMagnitudeStandardDeviation" -0.972873912916667
"laying" 2 "timeGravityAccelerationMeanX" -0.509754238125
"laying" 2 "timeGravityAccelerationMeanY" 0.752536639375
"laying" 2 "timeGravityAccelerationMeanZ" 0.646834879583333
"laying" 2 "timeGravityAccelerationStandardDeviationX" -0.959014441458333
"laying" 2 "timeGravityAccelerationStandardDeviationY" -0.988211865208333
"laying" 2 "timeGravityAccelerationStandardDeviationZ" -0.984230418125
"laying" 3 "frequencyBodyAccelerationJerkMeanX" -0.980513202258064
"laying" 3 "frequencyBodyAccelerationJerkMeanY" -0.968752113709677
"laying" 3 "frequencyBodyAccelerationJerkMeanZ" -0.979122344354839
"laying" 3 "frequencyBodyAccelerationJerkStandardDeviationX" -0.983122615967742
"laying" 3 "frequencyBodyAccelerationJerkStandardDeviationY" -0.971044012741936
"laying" 3 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.983711904677419
"laying" 3 "frequencyBodyAccelerationMagnitudeMean" -0.96552427516129
"laying" 3 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.968350217419355
"laying" 3 "frequencyBodyAccelerationMeanX" -0.980665609032258
"laying" 3 "frequencyBodyAccelerationMeanY" -0.961169982903226
"laying" 3 "frequencyBodyAccelerationMeanZ" -0.968332141612903
"laying" 3 "frequencyBodyAccelerationStandardDeviationX" -0.983691129032258
"laying" 3 "frequencyBodyAccelerationStandardDeviationY" -0.964094604193548
"laying" 3 "frequencyBodyAccelerationStandardDeviationZ" -0.96327908016129
"laying" 3 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.975949597903226
"laying" 3 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.975305377903226
"laying" 3 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.984278251290323
"laying" 3 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.982568158064516
"laying" 3 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.96458672483871
"laying" 3 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.955441855806452
"laying" 3 "frequencyBodyGyroscopeMeanX" -0.970167262903226
"laying" 3 "frequencyBodyGyroscopeMeanY" -0.978099682258065
"laying" 3 "frequencyBodyGyroscopeMeanZ" -0.962341960806452
"laying" 3 "frequencyBodyGyroscopeStandardDeviationX" -0.975986433709677
"laying" 3 "frequencyBodyGyroscopeStandardDeviationY" -0.977032495483871
"laying" 3 "frequencyBodyGyroscopeStandardDeviationZ" -0.967256854193548
"laying" 3 "timeBodyAccelerationJerkMagnitudeMean" -0.979484593387097
"laying" 3 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.976121297903226
"laying" 3 "timeBodyAccelerationJerkMeanX" 0.0769811125806452
"laying" 3 "timeBodyAccelerationJerkMeanY" 0.0138041011306452
"laying" 3 "timeBodyAccelerationJerkMeanZ" -0.00435625874355645
"laying" 3 "timeBodyAccelerationJerkStandardDeviationX" -0.98087931483871
"laying" 3 "timeBodyAccelerationJerkStandardDeviationY" -0.968710724677419
"laying" 3 "timeBodyAccelerationJerkStandardDeviationZ" -0.982093162903226
"laying" 3 "timeBodyAccelerationMagnitudeMean" -0.972791346129032
"laying" 3 "timeBodyAccelerationMagnitudeStandardDeviation" -0.964218176451613
"laying" 3 "timeBodyAccelerationMeanX" 0.275516852741935
"laying" 3 "timeBodyAccelerationMeanY" -0.0189556785048387
"laying" 3 "timeBodyAccelerationMeanZ" -0.101300477506452
"laying" 3 "timeBodyAccelerationStandardDeviationX" -0.982776639193548
"laying" 3 "timeBodyAccelerationStandardDeviationY" -0.962057544516129
"laying" 3 "timeBodyAccelerationStandardDeviationZ" -0.96369103483871
"laying" 3 "timeBodyGyroscopeJerkMagnitudeMean" -0.98671362516129
"laying" 3 "timeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.983139255645161
"laying" 3 "timeBodyGyroscopeJerkMeanX" -0.10004449883871
"laying" 3 "timeBodyGyroscopeJerkMeanY" -0.0389771765322581
"laying" 3 "timeBodyGyroscopeJerkMeanZ" -0.06873387
"laying" 3 "timeBodyGyroscopeJerkStandardDeviationX" -0.980328645
"laying" 3 "timeBodyGyroscopeJerkStandardDeviationY" -0.986762741935484
"laying" 3 "timeBodyGyroscopeJerkStandardDeviationZ" -0.983338279516129
"laying" 3 "timeBodyGyroscopeMagnitudeMean" -0.951564751451613
"laying" 3 "timeBodyGyroscopeMagnitudeStandardDeviation" -0.954275110967742
"laying" 3 "timeBodyGyroscopeMeanX" -0.0208170540330645
"laying" 3 "timeBodyGyroscopeMeanY" -0.0718507159435484
"laying" 3 "timeBodyGyroscopeMeanZ" 0.137999561112903
"laying" 3 "timeBodyGyroscopeStandardDeviationX" -0.974545752096774
"laying" 3 "timeBodyGyroscopeStandardDeviationY" -0.977272653709677
"laying" 3 "timeBodyGyroscopeStandardDeviationZ" -0.963505609032258
"laying" 3 "timeGravityAccelerationMagnitudeMean" -0.972791346129032
"laying" 3 "timeGravityAccelerationMagnitudeStandardDeviation" -0.964218176451613
"laying" 3 "timeGravityAccelerationMeanX" -0.241758478064516
"laying" 3 "timeGravityAccelerationMeanY" 0.837032099677419
"laying" 3 "timeGravityAccelerationMeanZ" 0.48870318516129
"laying" 3 "timeGravityAccelerationStandardDeviationX" -0.982512193064516
"laying" 3 "timeGravityAccelerationStandardDeviationY" -0.981202749677419
"laying" 3 "timeGravityAccelerationStandardDeviationZ" -0.964807543870968
"laying" 4 "frequencyBodyAccelerationJerkMeanX" -0.978542457407407
"laying" 4 "frequencyBodyAccelerationJerkMeanY" -0.943969987222222
"laying" 4 "frequencyBodyAccelerationJerkMeanZ" -0.975383329444444
"laying" 4 "frequencyBodyAccelerationJerkStandardDeviationX" -0.980079292592593
"laying" 4 "frequencyBodyAccelerationJerkStandardDeviationY" -0.944366881666667
"laying" 4 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.980261236296296
"laying" 4 "frequencyBodyAccelerationMagnitudeMean" -0.939389701296296
"laying" 4 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.937187975962963
"laying" 4 "frequencyBodyAccelerationMeanX" -0.958802077592593
"laying" 4 "frequencyBodyAccelerationMeanY" -0.938883374444444
"laying" 4 "frequencyBodyAccelerationMeanZ" -0.967504278888889
"laying" 4 "frequencyBodyAccelerationStandardDeviationX" -0.952464881481481
"laying" 4 "frequencyBodyAccelerationStandardDeviationY" -0.946380971111111
"laying" 4 "frequencyBodyAccelerationStandardDeviationZ" -0.962154454259259
"laying" 4 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.96228712537037
"laying" 4 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.958037119259259
"laying" 4 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.983609073333333
"laying" 4 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.982543631666667
"laying" 4 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.961556660185185
"laying" 4 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.947100325185185
"laying" 4 "frequencyBodyGyroscopeMeanX" -0.967203736481482
"laying" 4 "frequencyBodyGyroscopeMeanY" -0.972187839074074
"laying" 4 "frequencyBodyGyroscopeMeanZ" -0.961479262592593
"laying" 4 "frequencyBodyGyroscopeStandardDeviationX" -0.975094739444444
"laying" 4 "frequencyBodyGyroscopeStandardDeviationY" -0.956182500185185
"laying" 4 "frequencyBodyGyroscopeStandardDeviationZ" -0.965807466666667
"laying" 4 "timeBodyAccelerationJerkMagnitudeMean" -0.970095771666667
"laying" 4 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.960786430740741
"laying" 4 "timeBodyAccelerationJerkMeanX" 0.0934494217777778
"laying" 4 "timeBodyAccelerationJerkMeanY" 0.00693313213968519
"laying" 4 "timeBodyAccelerationJerkMeanZ" -0.00641054328740741
"laying" 4 "timeBodyAccelerationJerkStandardDeviationX" -0.978302781111111
"laying" 4 "timeBodyAccelerationJerkStandardDeviationY" -0.942209488333333
"laying" 4 "timeBodyAccelerationJerkStandardDeviationZ" -0.978511984259259
"laying" 4 "timeBodyAccelerationMagnitudeMean" -0.954557603148148
"laying" 4 "timeBodyAccelerationMagnitudeStandardDeviation" -0.931292216611111
"laying" 4 "timeBodyAccelerationMeanX" 0.263559214981481
"laying" 4 "timeBodyAccelerationMeanY" -0.0150031841055556
"laying" 4 "timeBodyAccelerationMeanZ" -0.110688150314815
"laying" 4 "timeBodyAccelerationStandardDeviationX" -0.954193738888889
"laying" 4 "timeBodyAccelerationStandardDeviationY" -0.941714042407407
"laying" 4 "timeBodyAccelerationStandardDeviationZ" -0.962667314814815
"laying" 4 "timeBodyGyroscopeJerkMagnitudeMean" -0.985068502037037
"laying" 4 "timeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.982698213703704
"laying" 4 "timeBodyGyroscopeJerkMeanX" -0.105019877685185
"laying" 4 "timeBodyGyroscopeJerkMeanY" -0.0381230432222222
"laying" 4 "timeBodyGyroscopeJerkMeanZ" -0.0712156288333333
"laying" 4 "timeBodyGyroscopeJerkStandardDeviationX" -0.975103204259259
"laying" 4 "timeBodyGyroscopeJerkStandardDeviationY" -0.986855629814815
"laying" 4 "timeBodyGyroscopeJerkStandardDeviationZ" -0.983965359814815
"laying" 4 "timeBodyGyroscopeMagnitudeMean" -0.930236462592593
"laying" 4 "timeBodyGyroscopeMagnitudeStandardDeviation" -0.947031781666667
"laying" 4 "timeBodyGyroscopeMeanX" -0.00923156347222222
"laying" 4 "timeBodyGyroscopeMeanY" -0.0930128180759259
"laying" 4 "timeBodyGyroscopeMeanZ" 0.169720404092593
"laying" 4 "timeBodyGyroscopeStandardDeviationX" -0.973102422222222
"laying" 4 "timeBodyGyroscopeStandardDeviationY" -0.961109291851852
"laying" 4 "timeBodyGyroscopeStandardDeviationZ" -0.962073755
"laying" 4 "timeGravityAccelerationMagnitudeMean" -0.954557603148148
"laying" 4 "timeGravityAccelerationMagnitudeStandardDeviation" -0.931292216611111
"laying" 4 "timeGravityAccelerationMeanX" -0.420664662222222
"laying" 4 "timeGravityAccelerationMeanY" 0.915165104259259
"laying" 4 "timeGravityAccelerationMeanZ" 0.341531310555556
"laying" 4 "timeGravityAccelerationStandardDeviationX" -0.921199965925926
"laying" 4 "timeGravityAccelerationStandardDeviationY" -0.969816635740741
"laying" 4 "timeGravityAccelerationStandardDeviationZ" -0.976176608888889
"laying" 5 "frequencyBodyAccelerationJerkMeanX" -0.982689657115385
"laying" 5 "frequencyBodyAccelerationJerkMeanY" -0.965328566153846
"laying" 5 "frequencyBodyAccelerationJerkMeanZ" -0.983250309423077
"laying" 5 "frequencyBodyAccelerationJerkStandardDeviationX" -0.985625270384615
"laying" 5 "frequencyBodyAccelerationJerkStandardDeviationY" -0.96624258
"laying" 5 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.986135599038461
"laying" 5 "frequencyBodyAccelerationMagnitudeMean" -0.962234984038462
"laying" 5 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.962525369423077
"laying" 5 "frequencyBodyAccelerationMeanX" -0.968741678461538
"laying" 5 "frequencyBodyAccelerationMeanY" -0.965419520961538
"laying" 5 "frequencyBodyAccelerationMeanZ" -0.977007724615385
"laying" 5 "frequencyBodyAccelerationStandardDeviationX" -0.964953893653846
"laying" 5 "frequencyBodyAccelerationStandardDeviationY" -0.972909186730769
"laying" 5 "frequencyBodyAccelerationStandardDeviationZ" -0.965882191153846
"laying" 5 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.977356379807692
"laying" 5 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.976381934807692
"laying" 5 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.984618025769231
"laying" 5 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.983434493076923
"laying" 5 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.968257068846154
"laying" 5 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.959263063269231
"laying" 5 "frequencyBodyGyroscopeMeanX" -0.975797491730769
"laying" 5 "frequencyBodyGyroscopeMeanY" -0.978249645769231
"laying" 5 "frequencyBodyGyroscopeMeanZ" -0.963202948461538
"laying" 5 "frequencyBodyGyroscopeStandardDeviationX" -0.980705769807692
"laying" 5 "frequencyBodyGyroscopeStandardDeviationY" -0.977257800961538
"laying" 5 "frequencyBodyGyroscopeStandardDeviationZ" -0.963305738076923
"laying" 5 "timeBodyAccelerationJerkMagnitudeMean" -0.980141253846154
"laying" 5 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.977477145384615
"laying" 5 "timeBodyAccelerationJerkMeanX" 0.0848164824230769
"laying" 5 "timeBodyAccelerationJerkMeanY" 0.00747460829615385
"laying" 5 "timeBodyAccelerationJerkMeanZ" -0.00304067159653846
"laying" 5 "timeBodyAccelerationJerkStandardDeviationX" -0.983307862115385
"laying" 5 "timeBodyAccelerationJerkStandardDeviationY" -0.964560430961538
"laying" 5 "timeBodyAccelerationJerkStandardDeviationZ" -0.985419368461538
"laying" 5 "timeBodyAccelerationMagnitudeMean" -0.966777882884615
"laying" 5 "timeBodyAccelerationMagnitudeStandardDeviation" -0.958612786346154
"laying" 5 "timeBodyAccelerationMeanX" 0.278334325576923
"laying" 5 "timeBodyAccelerationMeanY" -0.0183042123269231
"laying" 5 "timeBodyAccelerationMeanZ" -0.107937603673077
"laying" 5 "timeBodyAccelerationStandardDeviationX" -0.965934509615385
"laying" 5 "timeBodyAccelerationStandardDeviationY" -0.969295613269231
"laying" 5 "timeBodyAccelerationStandardDeviationZ" -0.968562516346154
"laying" 5 "timeBodyGyroscopeJerkMagnitudeMean" -0.9864194225
"laying" 5 "timeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.98377138
"laying" 5 "timeBodyGyroscopeJerkMeanX" -0.102114125
"laying" 5 "timeBodyGyroscopeJerkMeanY" -0.0404446925288462
"laying" 5 "timeBodyGyroscopeJerkMeanZ" -0.07083096875
"laying" 5 "timeBodyGyroscopeJerkStandardDeviationX" -0.983422257692308
"laying" 5 "timeBodyGyroscopeJerkStandardDeviationY" -0.983759479230769
"laying" 5 "timeBodyGyroscopeJerkStandardDeviationZ" -0.989679592307692
"laying" 5 "timeBodyGyroscopeMagnitudeMean" -0.946938300576923
"laying" 5 "timeBodyGyroscopeMagnitudeStandardDeviation" -0.958287921923077
"laying" 5 "timeBodyGyroscopeMeanX" -0.0218935013501923
"laying" 5 "timeBodyGyroscopeMeanY" -0.0798709596153846
"laying" 5 "timeBodyGyroscopeMeanZ" 0.159894366942308
"laying" 5 "timeBodyGyroscopeStandardDeviationX" -0.979498706538461
"laying" 5 "timeBodyGyroscopeStandardDeviationY" -0.977427370576923
"laying" 5 "timeBodyGyroscopeStandardDeviationZ" -0.960583776923077
"laying" 5 "timeGravityAccelerationMagnitudeMean" -0.966777882884615
"laying" 5 "timeGravityAccelerationMagnitudeStandardDeviation" -0.958612786346154
"laying" 5 "timeGravityAccelerationMeanX" -0.483470597692308
"laying" 5 "timeGravityAccelerationMeanY" 0.954890346153846
"laying" 5 "timeGravityAccelerationMeanZ" 0.263644691923077
"laying" 5 "timeGravityAccelerationStandardDeviationX" -0.945695336153846
"laying" 5 "timeGravityAccelerationStandardDeviationY" -0.985964053846154
"laying" 5 "timeGravityAccelerationStandardDeviationZ" -0.977076645
"laying" 6 "frequencyBodyAccelerationJerkMeanX" -0.967072436842105
"laying" 6 "frequencyBodyAccelerationJerkMeanY" -0.936043420175439
"laying" 6 "frequencyBodyAccelerationJerkMeanZ" -0.954425844736842
"laying" 6 "frequencyBodyAccelerationJerkStandardDeviationX" -0.968619159473684
"laying" 6 "frequencyBodyAccelerationJerkStandardDeviationY" -0.935717452807018
"laying" 6 "frequencyBodyAccelerationJerkStandardDeviationZ" -0.963567540877193
"laying" 6 "frequencyBodyAccelerationMagnitudeMean" -0.91235165222807
"laying" 6 "frequencyBodyAccelerationMagnitudeStandardDeviation" -0.905373979824561
"laying" 6 "frequencyBodyAccelerationMeanX" -0.939114254210526
"laying" 6 "frequencyBodyAccelerationMeanY" -0.923706791403509
"laying" 6 "frequencyBodyAccelerationMeanZ" -0.938044912280702
"laying" 6 "frequencyBodyAccelerationStandardDeviationX" -0.932462941461404
"laying" 6 "frequencyBodyAccelerationStandardDeviationY" -0.929711219929825
"laying" 6 "frequencyBodyAccelerationStandardDeviationZ" -0.924004748421053
"laying" 6 "frequencyBodyBodyAccelerationJerkMagnitudeMean" -0.948655471052632
"laying" 6 "frequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.951552664035088
"laying" 6 "frequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.953695957368421
"laying" 6 "frequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.955504654561404
"laying" 6 "frequencyBodyBodyGyroscopeMagnitudeMean" -0.930153639473684
"laying" 6 "frequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.928694890175439
"laying" 6 "frequencyBodyGyroscopeMeanX" -0.935439769649123
"laying" 6 "frequencyBodyGyroscopeMeanY" -0.941771544385965
"laying" 6 "frequencyBodyGyroscopeMeanZ" -0.932636612807018
"laying" 6 "frequencyBodyGyroscopeStandardDeviationX" -0.962164978596491
"laying" 6 "frequencyBodyGyroscopeStandardDeviationY" -0.945365097894737
"laying" 6 "frequencyBodyGyroscopeStandardDeviationZ" -0.947136774385965
"laying" 6 "timeBodyAccelerationJerkMagnitudeMean" -0.954750504912281
"laying" 6 "timeBodyAccelerationJerkMagnitudeStandardDeviation" -0.950341934385965
"laying" 6 "timeBodyAccelerationJerkMeanX" 0.0963481955263158
"laying" 6 "timeBodyAccelerationJerkMeanY" -0.00114529240245614
"laying" 6 "timeBodyAccelerationJerkMeanZ" 0.00328817288070175
"laying" 6 "timeBodyAccelerationJerkStandardDeviationX" -0.966341054736842
"laying" 6 "timeBodyAccelerationJerkStandardDeviationY" -0.933674494385965
"laying" 6 "timeBodyAccelerationJerkStandardDeviationZ" -0.959646055263158
"laying" 6 "timeBodyAccelerationMagnitudeMean" -0.918878850824561
"laying" 6 "timeBodyAccelerationMagnitudeStandardDeviation" -0.897326245964912
"laying" 6 "timeBodyAccelerationMeanX" 0.248656520140351
